timestamp,company_name,website_url,domain,domain_age,has_ssl,email,scam_keywords_count,verdict
2025-08-07T16:03:09.073317,paypal,https://www.paypal.com,paypal.com,26.08,TRUE,,1,✅ Genuine
2025-08-07T16:07:10.010570,Zephyr Technologies,https://zephyrtechnologies.co/,zephyrtechnologies.co,6.13,True,,0,✅ Genuine
2025-08-07T16:12:01.848092,/EDUBYHEART-INDIA-PRIVATE-LIMITED,https://www.zaubacorp.com,zaubacorp.com,10.77,True,,0,✅ Genuine
2025-08-07T16:12:59.598647,Crts global,https://zephyrtechnologies.co/,zephyrtechnologies.co,6.13,True,,0,✅ Genuine
2025-08-07T18:13:47.723460,Niveus Solutions (Part of NTT DATA) - Cloud Consulting | IT Services | Digitization,https://niveussolutions.com/,niveussolutions.com,12.37,True,biz@niveussolutions.com,1,✅ Genuine
2025-08-07T18:14:24.675087,Zephyr Technologies & Solutions,https://zephyrtechnologies.co,zephyrtechnologies.co,6.13,True,,1,✅ Genuine
2025-08-07T18:14:45.774539,PayPal Account | Mobile Wallet and More,https://www.paypal.com/,paypal.com,26.08,True,,2,✅ Genuine
2025-08-07T18:17:29.617221,Official Website Aviator Game,https://official-aviator-game.org,official-aviator-game.org,0.15,True,,3,✅ Genuine
2025-08-07T18:19:00.340314,WinZO | Skill-Based Real Money App | Download the App Now,https://www.winzogames.com,winzogames.com,8.27,True,,2,✅ Genuine
2025-08-07T20:20:03.195159,Niveus Solutions (Part of NTT DATA) - Cloud Consulting | IT Services | Digitization,https://niveussolutions.com/,niveussolutions.com,12.37,True,biz@niveussolutions.com,1,✅ Genuine
